category,title,prices,url_to_item,url_of_image
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",8.66,https://www.etsy.com/ca/listing/965933491/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-1&plkey=602451ed34df0eca22c753fed690f2fe8f06e84f%3A965933491&pro=1,https://i.etsystatic.com/25254906/r/il/df1178/3386572683/il_340x270.3386572683_eowu.jpg
phone,"Best Value Deal! Apple imac mcbook iphone ipad miniature Scale 1:6 Set for Dollhouse miniature or Blythe, Barbie, G.I. Joe or Similar doll",91.08,https://www.etsy.com/ca/listing/195336251/best-value-deal-apple-imac-mcbook-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-2&plkey=a67304319f84dc1a7da3eceaf93c7d2d41c93e69%3A195336251,https://i.etsystatic.com/5639715/r/il/1022a7/2272570135/il_340x270.2272570135_7hmk.jpg
phone,Framed iPhone 3 3Gs 4 4s 5 6 7 8 X Disassembled Phone Wall Art Gifts for Tech / Apple Lovers Grid Frame Studio,183.47,https://www.etsy.com/ca/listing/1040969956/framed-iphone-3-3gs-4-4s-5-6-7-8-x?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-3&plkey=b8d6aacad04a099bb9320e5b29b31dfd89262161%3A1040969956&frs=1,https://i.etsystatic.com/26830312/r/il/6fa25e/3217478436/il_340x270.3217478436_1ck2.jpg
phone,Laser Cute Transparent Cloud Pattern Phone Case For iPhone 13 Pro MAX 12 Mini 11 XS XR X 7 8 Plus Shockproof Soft Cover,33.28,https://www.etsy.com/ca/listing/1091487775/laser-cute-transparent-cloud-pattern?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-4&plkey=e30e92c8d1e85d21099220d08ece05fcac3ae9f3%3A1091487775&frs=1,https://i.etsystatic.com/31304325/r/il/835db4/3402877929/il_340x270.3402877929_6r8m.jpg
phone,Custom Phone Case | IPhone 11 Cases | IPhone Xr | Aesthetic | Pinterest | iPhone 12 | Durable | Cute | For her| For him | Gift |,16.99,https://www.etsy.com/ca/listing/906682722/custom-phone-case-iphone-11-cases-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-1&organic_search_click=1&frs=1,https://i.etsystatic.com/26205777/c/1575/1251/0/222/il/796439/2718842848/il_340x270.2718842848_o4u7.jpg
phone,"Glossy soft color flexible iphone case,iphone 7/8,iphone 11/11 pro,iphone xs max,iphone XR,iphone x/xs,iphone 12/12pro,iphone 12 pro max",14.00,https://www.etsy.com/ca/listing/951910495/glossy-soft-color-flexible-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-2&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/25182693/r/il/d4fdf8/2830276596/il_340x270.2830276596_ozix.jpg
phone,"Premium Silicone iPhone case,iphone12,iphone12 pro,iphone12pro max,iphone11,iphone11pro,iphone11promax,iphone xs max, iphone XR, iphone x/xs",16.70,https://www.etsy.com/ca/listing/1041528929/premium-silicone-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-3&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/25182693/r/il/943119/3214310581/il_340x270.3214310581_77tn.jpg
phone,"Wavy Phone Case, iPhone 12, iPhone 11, iPhone XR, iPhone X/XS, iPhone 7/8, Samsung S20/S20 Ultra/S21/S21 Ultra, Trendy, Cute, Protective",17.99,https://www.etsy.com/ca/listing/836390297/wavy-phone-case-iphone-12-iphone-11?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-4&organic_search_click=1&frs=1,https://i.etsystatic.com/23857931/c/869/691/18/104/il/110470/3287596289/il_340x270.3287596289_nv6f.jpg
phone,"Trippy Smileys Phone Case, IPhone 11, IPhone Xr, iPhone 8 , iPhone SE 2020 , IPhone Xs, IPhone 8 plus, Iphone 13, Smiley Phone Case, Smiley",17.99,https://www.etsy.com/ca/listing/1062065384/trippy-smileys-phone-case-iphone-11?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-5&organic_search_click=1&frs=1,https://i.etsystatic.com/24465545/r/il/129954/3343470333/il_340x270.3343470333_dyzh.jpg
phone,Sports TPU clear color phone case for IPhone 7/ IPhone 8/ IPhone X/ IPhone XS/11/12/11pro/12pro/11promax/12promax/Xr/XsMax,18.99,https://www.etsy.com/ca/listing/1036318927/sports-tpu-clear-color-phone-case-for?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-6&organic_search_click=1&frs=1,https://i.etsystatic.com/27348044/r/il/1a03c2/3194744153/il_340x270.3194744153_ft0t.jpg
phone,Luxurious Electroplated iPhone Cases iPhone XR | iPhone 11 iPhone 11 Pro iPhone 11 Pro max iPhone 12  | 12 Pro iPhone 12 Pro max,19.99,https://www.etsy.com/ca/listing/1033284822/luxurious-electroplated-iphone-cases?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-7&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/30826100/r/il/fb306a/3188805218/il_340x270.3188805218_j02n.jpg
phone,Beaded Phone Charm Y2K Accessories Phone Strap 90s Beaded Phone Charm Phone Chain,10.00,https://www.etsy.com/ca/listing/1050102358/beaded-phone-charm-y2k-accessories-phone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-8&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26824798/r/il/02b185/3251174436/il_340x270.3251174436_325y.jpg
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",8.66,https://www.etsy.com/ca/listing/965933491/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-1&plkey=42c4f071dd6cbb1a1f6ccf784805db204bf4526e%3A965933491&pro=1,https://i.etsystatic.com/25254906/r/il/df1178/3386572683/il_340x270.3386572683_eowu.jpg
phone,Framed iPhone 3 3Gs 4 4s 5 6 7 8 X Disassembled Phone Wall Art Gifts for Tech / Apple Lovers Grid Frame Studio,183.47,https://www.etsy.com/ca/listing/1040969956/framed-iphone-3-3gs-4-4s-5-6-7-8-x?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-2&plkey=4f52d3bb7962da288f173bc296abc22d68640637%3A1040969956&frs=1,https://i.etsystatic.com/26830312/r/il/6fa25e/3217478436/il_340x270.3217478436_1ck2.jpg
phone,"Best Value Deal! Apple imac mcbook iphone ipad miniature Scale 1:6 Set for Dollhouse miniature or Blythe, Barbie, G.I. Joe or Similar doll",91.08,https://www.etsy.com/ca/listing/195336251/best-value-deal-apple-imac-mcbook-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-3&plkey=22b8cd10a1ebd936714c8ebd3d36d05bc8194b10%3A195336251,https://i.etsystatic.com/5639715/r/il/1022a7/2272570135/il_340x270.2272570135_7hmk.jpg
phone,"APPLE CHARGING STATION, Deluxe Charging Stand , Wooden iPhone Dock, Apple Watch, Airpods, iPhone Station, Back to School Gift for Him",150.00,https://www.etsy.com/ca/listing/842744450/apple-charging-station-deluxe-charging?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-4&plkey=98b13b5d1831b9f7f9767fa99c93690ba184dc7e%3A842744450&frs=1,https://i.etsystatic.com/23529908/c/1403/1115/413/653/il/d035b7/3269472209/il_340x270.3269472209_128h.jpg
phone,WandaVision Case Collection | Marvel studios | Wanda Maximoff | Scarlett Witch | Vision | Phone 11 | IPhone Xr  | For her| For him | Gift |,15.99,https://www.etsy.com/ca/listing/975490459/wandavision-case-collection-marvel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-1&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26205777/r/il/29f932/3045838058/il_340x270.3045838058_aj9o.jpg
phone,Beaded Phone Charm Strap - Chunky Pearl,18.70,https://www.etsy.com/ca/listing/990253571/beaded-phone-charm-strap-chunky-pearl?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-2&organic_search_click=1&pro=1&frs=1,https://i.etsystatic.com/27719987/r/il/c2b8d1/3102244621/il_340x270.3102244621_arm9.jpg
phone,"Glossy soft color flexible iphone case,iphone 7/8,iphone 11/11 pro,iphone xs max,iphone XR,iphone x/xs,iphone 12/12pro,iphone 12 pro max",14.00,https://www.etsy.com/ca/listing/951910495/glossy-soft-color-flexible-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-3&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/25182693/r/il/d4fdf8/2830276596/il_340x270.2830276596_ozix.jpg
phone,Beaded Phone Charm Strap - PEARLY GIRLS,20.40,https://www.etsy.com/ca/listing/960113817/beaded-phone-charm-strap-pearly-girls?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-4&organic_search_click=1&pro=1&frs=1,https://i.etsystatic.com/27719987/r/il/d502bc/2931994584/il_340x270.2931994584_pw41.jpg
