category,title,prices,url_to_item,url_of_image
phone,Pastel Rainbow Phone Case | Samsung & iPhone Cases,16.99,https://www.etsy.com/ca/listing/1022380738/pastel-rainbow-phone-case-samsung-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-45-8&organic_search_click=1&frs=1,https://i.etsystatic.com/30112740/r/il/4df2af/3147098548/il_340x270.3147098548_pz7v.jpg
phone,Rainbow Tie dye iPhone case,18.00,https://www.etsy.com/ca/listing/1017403128/rainbow-tie-dye-iphone-case?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-45-7&organic_search_click=1&frs=1,https://i.etsystatic.com/30269851/r/il/d470da/3128072972/il_340x270.3128072972_ptxe.jpg
phone,"Enchanted Swirls - iPhone Case - Available for iPhone 12 Max, 12/12 Pro, 12 Mini, 11/11 Pro, 11 Max, XR, Xs Max, X/Xs, 8/7 Plus, 6s Plus",34.25,https://www.etsy.com/ca/listing/771527593/enchanted-swirls-iphone-case-available?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-45-6&organic_search_click=1&frs=1,https://i.etsystatic.com/19564705/r/il/b1c140/2157423876/il_340x270.2157423876_ad2d.jpg
phone,Blue Butterfly Phone Case | For Samsung & iPhone,14.99,https://www.etsy.com/ca/listing/1030101646/blue-butterfly-phone-case-for-samsung?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-4-2&organic_search_click=1&frs=1,https://i.etsystatic.com/29462454/c/2048/1627/0/0/il/174bc5/3224004177/il_340x270.3224004177_53wm.jpg
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",8.66,https://www.etsy.com/ca/listing/965933491/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-1&plkey=d0c8c2659f3dc828c8b3974dc6aa1537feae8230%3A965933491&pro=1,https://i.etsystatic.com/25254906/r/il/df1178/3386572683/il_340x270.3386572683_eowu.jpg
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",9.09,https://www.etsy.com/ca/listing/946075562/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-2&plkey=905a820c0b971ec2d57987f0009b189f249dcccc%3A946075562&pro=1,https://i.etsystatic.com/25251642/r/il/f15786/3386530977/il_340x270.3386530977_rfde.jpg
phone,Framed iPhone 3 3Gs 4 4s 5 6 7 8 X Disassembled Phone Wall Art Gifts for Tech / Apple Lovers Grid Frame Studio,183.47,https://www.etsy.com/ca/listing/1040969956/framed-iphone-3-3gs-4-4s-5-6-7-8-x?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-3&plkey=27a285ae46e1b0d9cc7a74e400ad7a814975ca82%3A1040969956&frs=1,https://i.etsystatic.com/26830312/r/il/6fa25e/3217478436/il_340x270.3217478436_1ck2.jpg
phone,"Scannable Music Plaque, Custom Acrylic Plaque with Phone Stand and free personalised photo or album artwork",16.29,https://www.etsy.com/ca/listing/1086255445/scannable-music-plaque-custom-acrylic?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-4&plkey=14b1b9daa6cbe9528bc5b7404a8626884c76db4a%3A1086255445&pro=1,https://i.etsystatic.com/31438748/r/il/f64f1b/3382571063/il_340x270.3382571063_j2kv.jpg
phone,WandaVision Case Collection | Marvel studios | Wanda Maximoff | Scarlett Witch | Vision | Phone 11 | IPhone Xr  | For her| For him | Gift |,15.99,https://www.etsy.com/ca/listing/975490459/wandavision-case-collection-marvel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-1&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26205777/r/il/29f932/3045838058/il_340x270.3045838058_aj9o.jpg
phone,Beaded Phone Charm Strap - Chunky Pearl,22.00,https://www.etsy.com/ca/listing/990253571/beaded-phone-charm-strap-chunky-pearl?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-2&organic_search_click=1&frs=1,https://i.etsystatic.com/27719987/r/il/c2b8d1/3102244621/il_340x270.3102244621_arm9.jpg
phone,"Glossy soft color flexible iphone case,iphone 7/8,iphone 11/11 pro,iphone xs max,iphone XR,iphone x/xs,iphone 12/12pro,iphone 12 pro max",14.00,https://www.etsy.com/ca/listing/951910495/glossy-soft-color-flexible-iphone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-3&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/25182693/r/il/d4fdf8/2830276596/il_340x270.2830276596_ozix.jpg
phone,Beaded Phone Charm Strap - PEARLY GIRLS,24.00,https://www.etsy.com/ca/listing/960113817/beaded-phone-charm-strap-pearly-girls?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-4&organic_search_click=1&frs=1,https://i.etsystatic.com/27719987/r/il/d502bc/2931994584/il_340x270.2931994584_pw41.jpg
phone,Beaded Phone Charm Y2K Accessories Phone Strap 90s Beaded Phone Charm Phone Chain,10.00,https://www.etsy.com/ca/listing/1050102358/beaded-phone-charm-y2k-accessories-phone?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-5&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26824798/r/il/02b185/3251174436/il_340x270.3251174436_325y.jpg
phone,"Custom Phone Case, iPhone 12, iPhone 11, iPhone XR, iPhone X/XS, iPhone 7/8, Samsung S20/S20 Ultra/S21/S21 Ultra, Trendy, Cute, Protective",17.99,https://www.etsy.com/ca/listing/817341752/custom-phone-case-iphone-12-iphone-11?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-6&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/23857931/r/il/0a8dde/2432983117/il_340x270.2432983117_9psb.jpg
phone,"Wavy Phone Case, iPhone 12, iPhone 11, iPhone XR, iPhone X/XS, iPhone 7/8, Samsung S20/S20 Ultra/S21/S21 Ultra, Trendy, Cute, Protective",17.99,https://www.etsy.com/ca/listing/836390297/wavy-phone-case-iphone-12-iphone-11?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-7&organic_search_click=1&frs=1,https://i.etsystatic.com/23857931/c/869/691/18/104/il/110470/3287596289/il_340x270.3287596289_nv6f.jpg
phone,Phone Charmies 004,15.00,https://www.etsy.com/ca/listing/1019210552/phone-charmies-004?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-8&organic_search_click=1&frs=1,https://i.etsystatic.com/29618103/r/il/78b2b0/3286080332/il_340x270.3286080332_42kz.jpg
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",8.66,https://www.etsy.com/ca/listing/965933491/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-1&plkey=e11edc6a982120308060eebf387dd910a2ff0799%3A965933491&pro=1,https://i.etsystatic.com/25254906/r/il/df1178/3386572683/il_340x270.3386572683_eowu.jpg
phone,"3,000,000+ High Resolution iOS Icons Pack Mega Bundle | iPhone IOS 14 App Aesthetic | Free Custom Icons | IOS14 Phone Home Screen Widget",9.09,https://www.etsy.com/ca/listing/946075562/3000000-high-resolution-ios-icons-pack?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-2&plkey=ae57a6f09d2f04f28a0bc9807d2aa4ccf6acec43%3A946075562&pro=1,https://i.etsystatic.com/25251642/r/il/f15786/3386530977/il_340x270.3386530977_rfde.jpg
phone,Framed iPhone 3 3Gs 4 4s 5 6 7 8 X Disassembled Phone Wall Art Gifts for Tech / Apple Lovers Grid Frame Studio,183.47,https://www.etsy.com/ca/listing/1040969956/framed-iphone-3-3gs-4-4s-5-6-7-8-x?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-3&plkey=1a572ba9d6b61f893b7e0666c205339228f42e18%3A1040969956&frs=1,https://i.etsystatic.com/26830312/r/il/6fa25e/3217478436/il_340x270.3217478436_1ck2.jpg
phone,"Scannable Music Plaque, Custom Acrylic Plaque with Phone Stand and free personalised photo or album artwork",16.29,https://www.etsy.com/ca/listing/1086255445/scannable-music-plaque-custom-acrylic?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sc_gallery-1-4&plkey=df44c62d0f36e5be1bbe7e9655a636d7542efaf2%3A1086255445&pro=1,https://i.etsystatic.com/31438748/r/il/f64f1b/3382571063/il_340x270.3382571063_j2kv.jpg
phone,WandaVision Case Collection | Marvel studios | Wanda Maximoff | Scarlett Witch | Vision | Phone 11 | IPhone Xr  | For her| For him | Gift |,15.99,https://www.etsy.com/ca/listing/975490459/wandavision-case-collection-marvel?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone&ref=sr_gallery-1-1&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/26205777/r/il/29f932/3045838058/il_340x270.3045838058_aj9o.jpg
